title,author,poembr
击壤歌,佚名〔先秦〕,日出而作，日入而息.<br>凿井而饮，耕田而食.<br>帝力于我何有哉！
关雎,诗经·国风·周南〔先秦〕,关关雎鸠，在河之洲.<br>窈窕淑女，君子好逑.<br>参差荇菜，左右流之.<br>窈窕淑女，寤寐求之.<br>求之不得，寤寐思服.<br>悠哉悠哉，辗转反侧.<br>参差荇菜，左右采之.<br>窈窕淑女，琴瑟友之.<br>参差荇菜，左右芼之.<br>窈窕淑女，钟鼓乐之。
木瓜,诗经·国风·卫风〔先秦〕,投我以木瓜，报之以琼琚.<br>匪报也，永以为好也！投我以木桃，报之以琼瑶.<br>匪报也，永以为好也！投我以木李，报之以琼玖.<br>匪报也，永以为好也！
桃夭,诗经·国风·周南〔先秦〕,桃之夭夭，灼灼其华.<br>之子于归，宜其室家.<br>桃之夭夭，有蕡其实.<br>之子于归，宜其家室.<br>桃之夭夭，其叶蓁蓁.<br>之子于归，宜其家人。
蒹葭,诗经·国风·秦风〔先秦〕,蒹葭苍苍，白露为霜.<br>所谓伊人，在水一方.<br>溯洄从之，道阻且长.<br>溯游从之，宛在水中央.<br>蒹葭萋萋，白露未晞.<br>所谓伊人，在水之湄.<br>溯洄从之，道阻且跻.<br>溯游从之，宛在水中坻.<br>蒹葭采采，白露未已.<br>所谓伊人，在水之涘.<br>溯洄从之，道阻且右.<br>溯游从之，宛在水中沚。
无衣,诗经·国风·唐风〔先秦〕,岂曰无衣？七兮.<br>不如子之衣，安且吉兮.<br>岂曰无衣？六兮.<br>不如子之衣，安且燠兮。
河广,诗经·国风·卫风〔先秦〕,谁谓河广？一苇杭之.<br>谁谓宋远？跂予望之.<br>谁谓河广？曾不容刀.<br>谁谓宋远？曾不崇朝。
采薇,诗经·小雅·鹿鸣之什〔先秦〕,采薇采薇，薇亦作止.<br>曰归曰归，岁亦莫止.<br>靡室靡家，猃狁之故.<br>不遑启居，猃狁之故.<br>采薇采薇，薇亦柔止.<br>曰归曰归，心亦忧止.<br>忧心烈烈，载饥载渴.<br>我戍未定，靡使归聘.<br>采薇采薇，薇亦刚止.<br>曰归曰归，岁亦阳止.<br>王事靡盬，不遑启处.<br>忧心孔疚，我行不来！彼尔维何？维常之华.<br>彼路斯何？君子之车.<br>戎车既驾，四牡业业.<br>岂敢定居？一月三捷.<br>驾彼四牡，四牡骙骙.<br>君子所依，小人所腓.<br>四牡翼翼，象弭鱼服.<br>岂不日戒？猃狁孔棘！昔我往矣，杨柳依依.<br>今我来思，雨雪霏霏.<br>行道迟迟，载渴载饥.<br>我心伤悲，莫知我哀！
硕鼠,诗经·国风·魏风〔先秦〕,硕鼠硕鼠，无食我黍！三岁贯女，莫我肯顾.<br>逝将去女，适彼乐土.<br>乐土乐土，爰得我所.<br>硕鼠硕鼠，无食我麦！三岁贯女，莫我肯德.<br>逝将去女，适彼乐国.<br>乐国乐国，爰得我直.<br>硕鼠硕鼠，无食我苗！三岁贯女，莫我肯劳.<br>逝将去女，适彼乐郊.<br>乐郊乐郊，谁之永号？
伐檀,诗经·国风·魏风〔先秦〕,坎坎伐檀兮，置之河之干兮.<br>河水清且涟猗.<br>不稼不穑，胡取禾三百廛兮？不狩不猎，胡瞻尔庭有县貆兮？彼君子兮，不素餐兮！坎坎伐辐兮，置之河之侧兮.<br>河水清且直猗.<br>不稼不穑，胡取禾三百亿兮？不狩不猎，胡瞻尔庭有县特兮？彼君子兮，不素食兮！坎坎伐轮兮，置之河之漘兮.<br>河水清且沦猗.<br>不稼不穑，胡取禾三百囷兮？不狩不猎，胡瞻尔庭有县鹑兮？彼君子兮，不素飧兮！
